word	tag	type	chinese_definition	explanation	uk	us
Blood	noun_body	Noun (名词)	血液	不可数名词，此处作主语。	/blʌd/	/blʌd/
Close	verb_imperative	Verb (动词)	闭上	祈使句动词。	/kləʊz/	/kloʊz/
Exercise	noun	Noun (名词)	锻炼	名词作主语。	/ˈeksəsaɪz/	/ˈeksərsaɪz/
Give	verb_imperative	Verb (动词)	给	祈使句动词。	/ɡɪv/	/ɡɪv/
He	pronoun_subject	Pronoun (代词)	他	第三人称主格。	/hiː/	/hiː/
Her	pronoun_possessive	Pronoun (代词)	她的	形容词性物主代词。	/hɜː(r)/	/hɜːr/
His	pronoun_possessive	Pronoun (代词)	他的	形容词性物主代词。	/hɪz/	/hɪz/
I	pronoun_subject	Pronoun (代词)	我	第一人称主格。	/aɪ/	/aɪ/
Lie	verb_imperative	Verb (动词)	躺	祈使句动词。	/laɪ/	/laɪ/
My	pronoun_possessive	Pronoun (代词)	我的	形容词性物主代词。	/maɪ/	/maɪ/
Open	verb_imperative	Verb (动词)	张开	祈使句动词。	/ˈəʊpən/	/ˈoʊpən/
Raise	verb_imperative	Verb (动词)	举起	祈使句动词。	/reɪz/	/reɪz/
She	pronoun_subject	Pronoun (代词)	她	第三人称主格。	/ʃiː/	/ʃiː/
Smoking	noun_gerund	Noun (名词)	吸烟	动名词作主语。	/ˈsməʊkɪŋ/	/ˈsmoʊkɪŋ/
Tears	noun	Noun (名词)	眼泪	复数名词作主语。	/tɪəz/	/tɪrz/
The	article	Article (冠词)	这/那	定冠词。	/ðə/	/ðə/
This	determiner	Determiner (限定词)	这	指示限定词。	/ðɪs/	/ðɪs/
Use	verb_imperative	Verb (动词)	使用	祈使句动词。	/juːz/	/juːz/
Whisper	verb_imperative	Verb (动词)	低语	祈使句动词。	/ˈwɪspə(r)/	/ˈwɪspər/
You	pronoun_subject	Pronoun (代词)	你/您	第二人称主格或宾格。	/juː/	/juː/
a	article	Article (冠词)	一个	不定冠词。	/ə/	/ə/
abdomen	noun_body	Noun (名词)	腹部	身体部位名词。	/ˈæbdəmən/	/ˈæbdəmən/
an	article	Article (冠词)	一个	不定冠词，用于元音前。	/æn/	/æn/
ankle	noun_body	Noun (名词)	脚踝	身体部位名词。	/ˈæŋk(ə)l/	/ˈæŋk(ə)l/
are	verb_be	Verb (动词)	是	be 动词复数形式。	/ɑː(r)/	/ɑːr/
arm	noun_body	Noun (名词)	手臂	身体部位名词。	/ɑːm/	/ɑːrm/
armpits	noun_body	Noun (名词)	腋下	armpit 的复数。	/ˈɑːmpɪts/	/ˈɑːrmpɪts/
baby	noun	Noun (名词)	婴儿	名词。	/ˈbeɪbi/	/ˈbeɪbi/
back	noun_body	Noun (名词)	背部	身体部位名词。	/bæk/	/bæk/
ball	noun	Noun (名词)	球	名词。	/bɔːl/	/bɔːl/
beats	verb	Verb (动词)	跳动	beat 的第三人称单数。	/biːts/	/biːts/
belt	noun	Noun (名词)	腰带	名词。	/belt/	/belt/
blood	noun_body	Noun (名词)	血液	身体组织名词。	/blʌd/	/blʌd/
bone	noun_body	Noun (名词)	骨骼；骨头	身体部位名词。	/bəʊn/	/boʊn/
brain	noun_body	Noun (名词)	大脑	器官名词。	/breɪn/	/breɪn/
broke	verb_past	Verb (动词)	折断	break 的过去式。	/brəʊk/	/broʊk/
broken	adj	Adjective (形容词)	断了的	形容词，表状态。	/ˈbrəʊkən/	/ˈbroʊkən/
brushed	verb_past	Verb (动词)	梳理	brush 的过去式。	/brʌʃt/	/brʌʃt/
builds	verb	Verb (动词)	增强；练就	build 的第三人称单数。	/bɪldz/	/bɪldz/
burn	verb	Verb (动词)	烫伤	动词原形。	/bɜːn/	/bɜːrn/
calf	noun_body	Noun (名词)	小腿肚	身体部位名词。	/kɑːf/	/kæf/
cheek	noun_body	Noun (名词)	脸颊	身体部位名词。	/tʃiːk/	/tʃiːk/
chest	noun_body	Noun (名词)	胸部	身体部位名词。	/tʃest/	/tʃest/
chin	noun_body	Noun (名词)	下巴	身体部位名词。	/tʃɪn/	/tʃɪn/
coin	noun	Noun (名词)	硬币	名词。	/kɔɪn/	/kɔɪn/
cold	adj	Adjective (形容词)	冷的	形容词。	/kəʊld/	/koʊld/
covers	verb	Verb (动词)	遮盖	第三人称单数。	/ˈkʌvəz/	/ˈkʌvərz/
cut	verb_past	Verb (动词)	割破	cut 的过去式（同形）。	/kʌt/	/kʌt/
damages	verb	Verb (动词)	损害	第三人称单数。	/ˈdæmɪdʒɪz/	/ˈdæmɪdʒɪz/
deodorant	noun	Noun (名词)	除臭剂	名词。	/diˈəʊdərənt/	/diˈoʊdərənt/
doctor	noun	Noun (名词)	医生	名词。	/ˈdɒktə(r)/	/ˈdɑːktər/
down	prep	Adverb/Prep (副词/介词)	向下	与 ran 搭配。	/daʊn/	/daʊn/
dry	adj	Adjective (形容词)	干的	形容词。	/draɪ/	/draɪ/
ear	noun_body	Noun (名词)	耳朵	身体部位名词。	/ɪə(r)/	/ɪr/
eight	numeral	Numeral (数词)	八	基数词。	/eɪt/	/eɪt/
elbow	noun_body	Noun (名词)	肘部	身体部位名词。	/ˈelbəʊ/	/ˈelboʊ/
eyebrow	noun_body	Noun (名词)	眉毛	身体部位名词。	/ˈaɪbraʊ/	/ˈaɪbraʊ/
eyelashes	noun_body	Noun (名词)	睫毛	eyelash 的复数。	/ˈaɪlæʃɪz/	/ˈaɪlæʃɪz/
eyes	noun_body	Noun (名词)	眼睛	eye 的复数。	/aɪz/	/aɪz/
fast	adv	Adverb (副词)	快地	副词。	/fɑːst/	/fæst/
felt	verb_past	Verb (动词)	感到	feel 的过去式。	/felt/	/felt/
filters	verb	Verb (动词)	过滤	第三人称单数。	/ˈfɪltəz/	/ˈfɪltərz/
finger	noun_body	Noun (名词)	手指	身体部位名词。	/ˈfɪŋɡə(r)/	/ˈfɪŋɡər/
fits	verb	Verb (动词)	合身	第三人称单数。	/fɪts/	/fɪts/
flows	verb	Verb (动词)	流动	第三人称单数。	/fləʊz/	/floʊz/
foot	noun_body	Noun (名词)	脚	身体部位名词。	/fʊt/	/fʊt/
forehead	noun_body	Noun (名词)	前额	身体部位名词。	/ˈfɔːhed/	/ˈfɔːrhed/
growling	noun_verb	Verb (动词)	咕咕叫	growl 的 -ing 形式。	/ˈɡraʊlɪŋ/	/ˈɡraʊlɪŋ/
hair	noun_body	Noun (名词)	头发	身体部位名词。	/heə(r)/	/heɪr/
hand	noun_body	Noun (名词)	手	身体部位名词。	/hænd/	/hænd/
hands	noun_body	Noun (名词)	手	hand 的复数。	/hændz/	/hændz/
has	verb_have	Verb (动词)	有	have 的第三人称单数。	/hæz/	/hæz/
have	verb_have	Verb (动词)	有	动词原形。	/hæv/	/hæv/
heart	noun_body	Noun (名词)	心脏	器官名词。	/hɑːt/	/hɑːrt/
heel	noun_body	Noun (名词)	脚后跟	身体部位名词。	/hiːl/	/hiːl/
held	verb_past	Verb (动词)	握住	hold 的过去式。	/held/	/held/
her	pronoun_object	Pronoun (代词)	她/她的	宾格或物主代词。	/hɜː(r)/	/hɜːr/
hips	noun_body	Noun (名词)	臀部	hip 的复数。	/hɪps/	/hɪps/
his	pronoun_possessive	Pronoun (代词)	他的	形容词性物主代词。	/hɪz/	/hɪz/
hot	adj	Adjective (形容词)	烫的	形容词。	/hɒt/	/hɑːt/
hurt	verb	Verb (动词)	弄伤	动词。	/hɜːt/	/hɜːrt/
hurts	verb	Verb (动词)	疼痛	hurt 的第三人称单数。	/hɜːts/	/hɜːrts/
in	prep	Preposition (介词)	在…里	介词。	/ɪn/	/ɪn/
is	verb_be	Verb (动词)	是	be 动词第三人称。	/ɪz/	/ɪz/
kicked	verb_past	Verb (动词)	踢	kick 的过去式。	/kɪkt/	/kɪkt/
knee	noun_body	Noun (名词)	膝盖	身体部位名词。	/niː/	/niː/
leaned	verb_past	Verb (动词)	倚靠	lean 的过去式。	/liːnd/	/liːnd/
left	adj	Adjective (形容词)	左边的	形容词。	/left/	/left/
legs	noun_body	Noun (名词)	腿	leg 的复数。	/leɡz/	/leɡz/
lips	noun_body	Noun (名词)	嘴唇	lip 的复数。	/lɪps/	/lɪps/
liver	noun_body	Noun (名词)	肝脏	器官名词。	/ˈlɪvə(r)/	/ˈlɪvər/
long	adj	Adjective (形容词)	长的	形容词。	/lɒŋ/	/lɔːŋ/
loose	adj	Adjective (形容词)	松动的	形容词。	/luːs/	/luːs/
lungs	noun_body	Noun (名词)	肺	lung 的复数。	/lʌŋz/	/lʌŋz/
me	pronoun_object	Pronoun (代词)	我	宾格。	/miː/	/miː/
might	modal	Modal (情态动词)	可能	情态动词。	/maɪt/	/maɪt/
