word	tag	type	chinese_definition	explanation	uk	us
Aqua	adj_color	Adjective (形容词)	水蓝色的	颜色形容词。	/ˈækwə/	/ˈækwə/
Black	adj_color	Adjective (形容词)	黑色的	颜色形容词。	/blæk/	/blæk/
Bright	adj_color	Adjective (形容词)	鲜艳的	修饰名词表颜色。	/braɪt/	/braɪt/
Brown	adj_color	Adjective (形容词)	棕色的	颜色形容词。	/braʊn/	/braʊn/
Grass	noun	Noun (名词)	草	名词作主语。	/ɡrɑːs/	/ɡræs/
He	pronoun_subject	Pronoun (代词)	他	第三人称主格。	/hiː/	/hiː/
Her	pronoun_possessive	Pronoun (代词)	她的	形容词性物主代词。	/hɜː(r)/	/hɜːr/
I	pronoun_subject	Pronoun (代词)	我	第一人称主格。	/aɪ/	/aɪ/
Indigo	noun_color	Noun (名词)	靛蓝	颜色/染料名。	/ˈɪndɪɡəʊ/	/ˈɪndɪɡoʊ/
Lavender	noun_color	Noun (名词)	薰衣草；淡紫色	颜色名。	/ˈlævəndə(r)/	/ˈlævəndər/
Pink	adj_color	Adjective (形容词)	粉红色的	颜色形容词。	/pɪŋk/	/pɪŋk/
Purple	adj_color	Adjective (形容词)	紫色的	颜色形容词。	/ˈpɜːpl/	/ˈpɜːrpl/
She	pronoun_subject	Pronoun (代词)	她	第三人称主格。	/ʃiː/	/ʃiː/
The	article	Article (冠词)	这/那	定冠词。	/ðə/	/ðə/
White	adj_color	Adjective (形容词)	白色的	颜色形容词。	/waɪt/	/waɪt/
a	article	Article (冠词)	一个	不定冠词。	/ə/	/ə/
apple	noun	Noun (名词)	苹果	名词。	/ˈæpl/	/ˈæpl/
are	verb_be	Verb (动词)	是	be 动词复数。	/ɑː(r)/	/ɑːr/
beige	adj_color	Adjective (形容词)	米色的	颜色形容词。	/beɪʒ/	/beɪʒ/
beautiful	adj	Adjective (形容词)	美丽的	形容词。	/ˈbjuːtɪfl/	/ˈbjuːtɪfl/
bloomed	verb_past	Verb (动词)	开花	bloom 过去式。	/bluːmd/	/bluːmd/
blue	adj_color	Adjective (形容词)	蓝色的	颜色形容词。	/bluː/	/bluː/
bought	verb_past	Verb (动词)	购买	buy 过去式。	/bɔːt/	/bɔːt/
cat	noun	Noun (名词)	猫	名词。	/kæt/	/kæt/
chose	verb_past	Verb (动词)	选择	choose 过去式。	/tʃəʊz/	/tʃoʊz/
clear	adj	Adjective (形容词)	清澈的	形容词。	/klɪə(r)/	/klɪr/
coffee	noun	Noun (名词)	咖啡	名词。	/ˈkɒfi/	/ˈkɔːfi/
covers	verb	Verb (动词)	覆盖	第三人称单数。	/ˈkʌvəz/	/ˈkʌvərz/
cyan	noun_color	Noun (名词)	青色	颜色名。	/ˈsaɪən/	/ˈsaɪən/
dark	adj_color	Adjective (形容词)	深色的	修饰颜色。	/dɑːk/	/dɑːrk/
